cat, subCat, img, name, price, ratingScore, ratingCount, pricePerAmount
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564300_1.jpg, Rew-Ton Łącznik do rusztowania kolumnowego 1.6 m, 69.99 zł, 0, 0, 69.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564373_1.jpg, Soudal Aplikator do piany poliuretanowej 3 sztuki, 6.87 zł, 0, 0, 2.29 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/330765_1.jpg, Czyścik do pianek poliuretanowych 500 ml, 27.99 zł, 0, 0, 55.98 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/697735_1.jpg, Stopa do stabilizacji Corda 50x20 mm, 29.99 zł, 0, 0, 0
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564305_1.jpg, Rew-Ton Ukośnik do rusztowania kolumnowego 1,.6 m, 89.99 zł, 0, 0, 89.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/627006_1.jpg, Fola Folia do ochrony 200 czarna 0.08 mm 2 m x 50 m, 79.99 zł, 0, 0, 0, 80 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638139_1.jpg, Jan Niezbędny Worki budowlane 160l, 28.99 zł, 5, 1, 2.42 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638138_1.jpg, Jan Niezbędny Worki budowlane 120l 15 stuk, 29.99 zł, 0, 0, 2.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638140_1.jpg, Jan Niezbędny Worki budowlane 240l, 33.99 zł, 0, 0, 4.25 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638144_1.jpg, Jan Niezbędny Worki budowlane torba 60 l, 23.99 zł, 0, 0, 2.40 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564304_1.jpg, Rew-Ton Kółko do rusztowania kolumnowego, 199.00 zł, 0, 0, 199.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/315390_1.jpg, Krause Podpora do rusztowania ClimTec, 499.00 zł, 0, 0, 499.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638145_1.jpg, Jan Niezbędny Worki budowlane torba 90 l, 29.99 zł, 0, 0, 3.00 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/662277_1.jpg, Platforma do drabiny Corda 4x3, 58.97 zł, 0, 0, 58.97 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564303_1.jpg, Rew-Ton Łącznik do rusztowania kolumnowego 1 m, 59.99 zł, 0, 0, 59.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/564302_1.jpg, Rew-Ton Ukośnik do rusztowania kolumnowego 1 m, 79.99 zł, 0, 0, 79.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/575000_2.jpg, Baumaster Klej do styropianu Styrofix 750 ml, 35.99 zł, 3.7, 3, 47.99 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/687563_1.jpg, Baumaster Klej do styropianu Styrofix Aqua Graphite 750g, 37.99 zł, 3.7, 3, 50.66 zł / kg
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/634627_1.jpg, Fola Folia budowlana 0.15 mm 4 m x 8 m, 44.99 zł, 3, 1, 1.41 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/534642_1.jpg, Fola Folia do ochrony 300 czarna 0.12 mm, 6.99 zł / mb, 0, 0, 6.99 zł / opakowanie
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/534640_1.jpg, Fola Folia budowlana atestowana czarna 0.2 mm, 129.00 zł, 3, 1, 1.29 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/534642_1.jpg, Fola Folia do ochrony 200 czarna 0.06 mm, 4.29 zł / mb, 0, 0, 4.29 zł / opakowanie
